Year,Contributions,Interest,Negative Amo
2016,47035667,84555194.56,-33686864
2017,44034932,89490598.72,-41428258
2018,36466020,78368613.48,-50117031
2019,35049946,78454646.93,-51689398
2020,32093727,85412587.54,-60171474
