Return,BlackRock,Research Affiliates,JP Morgan,BNY Mellon,Horizon10,Horizon20,Plan Assumptions,Historical
0.090,0.2607,0.0327,0.0821,0.1221,0.1605,0.2403,0.2525,0.1872
0.080,0.384,0.0797,0.1598,0.2205,0.2538,0.3578,0.3725,0.308
0.075,0.4506,0.1152,0.209,0.2863,0.312,0.4248,0.4394,0.3784
0.070,0.5192,0.1607,0.2719,0.3583,0.3749,0.495,0.5087,0.4529
0.065,0.5864,0.2134,0.3392,0.4375,0.4415,0.562,0.5766,0.5284
0.060,0.651,0.2789,0.4161,0.5193,0.5113,0.6303,0.6434,0.6049
0.050,0.765,0.4316,0.5744,0.6755,0.6449,0.7451,0.7575,0.7379
